,EDINETコード,開始日,終了日,報告日,証券コード,企業名,業種,営業利益,流動資産,流動負債,投資その他の資産,固定負債,事業価値,財産価値,株主価値,発行株数,1株価値,株価,株価日時,安全率
32,E03178,,,2022-02-10,9900,株式会社サガミホールディングス,小売業,-360614000.0,13287921000.0,4325254000.0,2250288000.0,4945073000.0,-3606140000.0,10347904200.0,1796691200.0,30301784.0,59.29324821271249,1212.0,2022-02-22 09:00:00,0.048921821957683576
33,E04824,,,2022-02-10,9733,株式会社ナガセ,サービス業,3992000000.0,27694000000.0,18703000000.0,16321000000.0,33282000000.0,39920000000.0,21571400000.0,28209400000.0,10148409.0,2779.6869440323107,5550.0,2022-02-21 09:00:00,0.5008444944202362
34,E37192,,,2021-12-28,4260,株式会社ハイブリッドテクノロジーズ,情報・通信業,102292000.0,826476000.0,424922000.0,374637000.0,1743000.0,1022920000.0,691206600.0,1712383600.0,7443748.0,230.0431986681978,437.0,2022-02-22 09:00:00,0.5264146422613222
35,E25686,,,2022-02-10,6625,JALCOホールディングス株式会社,電気機器,1232840000.0,9706346000.0,5547872000.0,645416000.0,22677144000.0,12328400000.0,3694315600.0,-6654428400.0,112541318.0,-59.128758381877134,157.0,2022-02-22 15:15:01,-0.376616295425969
36,E01805,,,2022-02-10,6798,ＳＭＫ株式会社,電気機器,688000000.0,30326000000.0,17709000000.0,6667000000.0,5377000000.0,6880000000.0,15742200000.0,17245200000.0,7500000.0,2299.36,2180.0,2022-02-21 09:00:00,1.0547522935779816
37,E01739,,,2022-02-10,65030,三菱電機株式会社,電気機器,0.0,2831472000000.0,1415084000000.0,0.0,0.0,0.0,1133371200000.0,1133371200000.0,2147201551.0,527.8364294549636,0.0,,0.0
38,E03660,,,2021-11-19,,株式会社西京銀行,銀行業,3532000000.0,0.0,0.0,0.0,0.0,35320000000.0,0.0,35320000000.0,115967000.0,304.5694033647503,0.0,,0.0
39,E02646,,,2022-02-14,8145,中部水産株式会社,卸売業,347949000.0,10832952000.0,3548755000.0,3344708000.0,552538000.0,3479490000.0,9919154000.0,12846106000.0,1926900.0,6666.721677305517,0.0,,0.0
40,E01849,,,2022-02-04,6718,アイホン株式会社,電気機器,4687000000.0,49886000000.0,9048000000.0,11679000000.0,2787000000.0,46870000000.0,50707400000.0,94790400000.0,18220000.0,5202.5466520307355,2082.0,2022-02-22 14:46:16,2.4988216388236
41,E05336,,,2022-02-14,3710,ジョルダン株式会社,情報・通信業,-63357000.0,4090166000.0,695626000.0,813956000.0,29944000.0,-633570000.0,4069370800.0,3405856800.0,5255000.0,648.1173739295908,662.0,2022-02-22 11:35:01,0.979029265754669
42,E00448,,,2021-11-12,4229,群栄化学工業株式会社,化学,1386000000.0,23477000000.0,5861000000.0,10105000000.0,2388000000.0,13860000000.0,26548800000.0,38020800000.0,8998308.0,4225.327694939982,3455.0,2022-02-22 14:14:20,1.2229602590274913
43,E03546,,,2021-11-24,8343,株式会社秋田銀行,銀行業,3093000000.0,0.0,0.0,0.0,0.0,30930000000.0,0.0,30930000000.0,18093643.0,1709.440160834388,1720.0,2022-02-22 15:15:00,0.9938605586246442
44,E01572,,,2021-11-12,6369,トーヨーカネツ株式会社,機械,1613000000.0,31733000000.0,13311000000.0,11060000000.0,9674000000.0,16130000000.0,26819800000.0,33275800000.0,9323074.0,3569.1875876990784,2393.0,2022-02-22 10:55:18,1.4915117374421556
45,E01433,,,2021-11-15,5935,元旦ビューティ工業株式会社,金属製品,-142393000.0,4735648000.0,3687149000.0,994351000.0,646410000.0,-1423930000.0,1305420200.0,-764919800.0,771606.0,-991.3346967234573,4865.0,2022-02-21 09:00:00,-0.2037686940849861
46,E01439,,,2021-11-12,5983,イワブチ株式会社,金属製品,221299000.0,13116084000.0,2606850000.0,1722801000.0,1214745000.0,2212990000.0,11710665000.0,12708910000.0,1100000.0,11553.554545454546,5150.0,2022-02-22 15:15:01,2.2434086496028245
47,E00886,,,2021-11-12,4409,東邦化学工業株式会社,化学,612000000.0,32503000000.0,21921000000.0,5277000000.0,23561000000.0,6120000000.0,11474800000.0,-5966200000.0,21350000.0,-279.4473067915691,537.0,2022-02-22 15:15:00,-0.5203860461667953
48,E00952,,,2021-11-11,4526,理研ビタミン株式会社,食料品,2396000000.0,42942000000.0,17200000000.0,27139000000.0,14568000000.0,23960000000.0,49441000000.0,58833000000.0,40705100.0,1445.3471432326662,1748.0,2022-02-22 15:15:00,0.8268576334282988
49,E02864,,,2022-02-09,7537,丸文株式会社,卸売業,4008000000.0,131266000000.0,89745000000.0,6912000000.0,5819000000.0,40080000000.0,30484000000.0,64745000000.0,28051200.0,2308.100901209217,690.0,2022-02-22 13:44:19,3.345073769868431
